date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:29	17545/17545	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:47:29%20GMT	http://www.fibersensing.com/products/fbg-sensors/view/embedded-strain-sensor	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/products/fbg-sensors/view/embedded-strain-sensor.html	(from http://www.fibersensing.com/market/civil)
18:47:30	57308/57308	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Oct%202014%2019:31:34%20GMT	http://www.fibersensing.com/media/products/28/ets3.png	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/products/28/ets3.png	(from http://www.fibersensing.com/market/civil)
18:47:39	57622/57622	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Oct%202014%2019:36:36%20GMT	http://www.fibersensing.com/media/products/20/sensores_destaque2.png	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/products/20/sensores_destaque2.png	(from http://www.fibersensing.com/market/civil)
18:47:40	53313/53313	---M--	200	added ('OK')	image/png	date:Fri,%2031%20Oct%202014%2019:41:18%20GMT	http://www.fibersensing.com/media/products/18/sss3.png	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/products/18/sss3.png	(from http://www.fibersensing.com/market/civil)
18:48:11	182944/182944	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Mar%202015%2020:03:09%20GMT	http://www.fibersensing.com/public/files/market/other-footer.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/files/market/other-footer.jpg	(from http://www.fibersensing.com/market/civil)
18:48:16	194786/194786	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Mar%202015%2020:03:07%20GMT	http://www.fibersensing.com/public/files/market/energy-footer.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/files/market/energy-footer.jpg	(from http://www.fibersensing.com/market/civil)
18:49:23	443045/443045	---M--	200	added ('OK')	audio/mpeg	date:Wed,%2007%20Jan%202015%2020:14:22%20GMT	http://www.fibersensing.com/public/files/market/civil-header.mp3	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/files/market/civil-header.mp3	(from http://www.fibersensing.com/market/civil)
18:49:52	590430/590430	---M--	200	added ('OK')	audio/ogg	date:Wed,%2007%20Jan%202015%2020:14:21%20GMT	http://www.fibersensing.com/public/files/market/civil-header.ogg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/files/market/civil-header.ogg	(from http://www.fibersensing.com/market/civil)
18:50:00	229814/229814	---M--	200	added ('OK')	audio/mpeg	date:Wed,%2007%20Jan%202015%2020:14:22%20GMT	http://www.fibersensing.com/public/files/market/civil-content.mp3	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/files/market/civil-content.mp3	(from http://www.fibersensing.com/market/civil)
18:50:11	122680/122680	---M--	200	added ('OK')	audio/ogg	date:Wed,%2007%20Jan%202015%2020:14:25%20GMT	http://www.fibersensing.com/public/files/market/civil-content.ogg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/files/market/civil-content.ogg	(from http://www.fibersensing.com/market/civil)
18:50:11	0/-1	---M--	302	error ('')			http://www.fibersensing.com/lg/en	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/lg/en.14e.delayed	(from http://www.fibersensing.com/market/energy)
18:50:15	16266/16266	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Mar%202015%2020:03:08%20GMT	http://www.fibersensing.com/public/files/market/energy-paralax-graph.png	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/files/market/energy-paralax-graph.png	(from http://www.fibersensing.com/market/energy)
18:50:53	216223/216223	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Oct%202014%2017:03:33%20GMT	http://www.fibersensing.com/media/applications/12/type1_dscf0015.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/applications/12/type1_dscf0015.jpg	(from http://www.fibersensing.com/market/energy)
18:50:53	17759/17759	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:50:54%20GMT	http://www.fibersensing.com/market/energy/view/vibration-monitoring-oem-system-12	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/market/energy/view/vibration-monitoring-oem-system-12.html	(from http://www.fibersensing.com/market/energy)
18:50:57	338590/338590	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Mar%202015%2020:02:57%20GMT	http://www.fibersensing.com/public/imgs/fb/market-energy.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/imgs/fb/market-energy.jpg	(from http://www.fibersensing.com/market/energy)
18:50:58	17785/17785	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:50:58%20GMT	http://www.fibersensing.com/market/energy/view/temperature-monitoring-oem-system	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/market/energy/view/temperature-monitoring-oem-system.html	(from http://www.fibersensing.com/market/energy)
18:51:16	100727/100727	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Oct%202014%2016:02:05%20GMT	http://www.fibersensing.com/media/applications/10/type3_img_3394_source_1.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/applications/10/type3_img_3394_source_1.jpg	(from http://www.fibersensing.com/market/energy)
18:51:17	17686/17686	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:51:17%20GMT	http://www.fibersensing.com/market/energy/view/hot-spot-monitoring	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/market/energy/view/hot-spot-monitoring.html	(from http://www.fibersensing.com/market/energy)
18:51:18	3637/3637	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Mar%202015%2020:03:09%20GMT	http://www.fibersensing.com/public/files/market/market_applications_type3_default.png	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/files/market/market_applications_type3_default.png	(from http://www.fibersensing.com/market/energy)
18:51:19	4122/4122	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Mar%202015%2020:03:07%20GMT	http://www.fibersensing.com/public/files/market/market_applications_type2_default.png	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/public/files/market/market_applications_type2_default.png	(from http://www.fibersensing.com/market/energy)
18:51:22	17202/17202	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Oct%202014%2015:34:43%20GMT	http://www.fibersensing.com/media/customers/21/siemens.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/customers/21/siemens.jpg	(from http://www.fibersensing.com/market/energy)
18:51:28	27518/27518	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Oct%202014%2015:41:41%20GMT	http://www.fibersensing.com/media/customers/24/efacec.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/customers/24/efacec.jpg	(from http://www.fibersensing.com/market/energy)
18:51:33	27377/27377	---M--	200	added ('OK')	image/jpeg	date:Wed,%2029%20Oct%202014%2015:36:07%20GMT	http://www.fibersensing.com/media/customers/22/ge.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/customers/22/ge.jpg	(from http://www.fibersensing.com/market/energy)
18:51:41	294449/294449	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Oct%202014%2016:54:57%20GMT	http://www.fibersensing.com/media/applications/13/copy_of_p9230201.jpg	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/applications/13/copy_of_p9230201.jpg	(from http://www.fibersensing.com/market/energy)
18:51:42	17773/17773	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:51:43%20GMT	http://www.fibersensing.com/products/fbg-sensors/view/fs6300-high-temperature-dielectric-probe	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/products/fbg-sensors/view/fs6300-high-temperature-dielectric-probe.html	(from http://www.fibersensing.com/market/energy)
18:52:09	211634/211634	---M--	200	added ('OK')	image/png	date:Mon,%2006%20Apr%202015%2014:36:51%20GMT	http://www.fibersensing.com/media/products/9/untitled_1_1.png	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/media/products/9/untitled_1_1.png	(from http://www.fibersensing.com/market/energy)
18:52:11	17404/17404	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20May%202015%2010:52:11%20GMT	http://www.fibersensing.com/products/fbg-sensors/view/composite-temperature-sensor	C:/Users/demo/Desktop/fiber/fiber/www.fibersensing.com/products/fbg-sensors/view/composite-temperature-sensor.html	(from http://www.fibersensing.com/market/energy)
